Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,"Lanao del Norte Province (Northern Mindanao Region); Davao de Oro and Davao del Norte provinces; Maguindanao (BARMM Region); Mimaropa Region; Cagayan Valley, Central Luzon, Calabarzon, Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Soccsksargen, Caraga",Heavy rains,0.0,Km2,2023,2023,52.0,11.0,2143347.0,2143358.0,30371.0,30371.0
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,Southwest Maluku and Tanimbar Islands Regencies (Maluku Province),0,7.6,Moment Magnitude,2023,2023,1.0,11.0,4350.0,4421.0,0.0,0.0
Hydrological,Mass movement (wet),Landslide (wet),Colombia,Latin America and the Caribbean,Americas,"Rosas, Cauca municipality",Heavy rains,0.0,0,2023,2023,0.0,0.0,700.0,700.0,0.0,0.0
Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,"Khoy, Firoraq (Azerbaïdjan province)",0,5.7,Moment Magnitude,2023,2023,0.0,252.0,41426.0,41678.0,50000.0,50000.0
Meteorological,Extreme temperature,Cold wave,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",0,-33.0,°C,2023,2023,166.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Madagascar,Sub-Saharan Africa,Africa,Antalaha (Sava Region); Diana regon,0,106.0,Kph,2023,2023,53.0,0.0,90870.0,90870.0,20000.0,20000.0
Hydrological,Mass movement (wet),Avalanche (wet),China,Eastern Asia,Asia,"Nyingchi City (Nyingchi County, Autonomous Region of Tibet)",0,0.0,0,2023,2023,28.0,5.0,53.0,58.0,0.0,0.0
Hydrological,Flood,Riverine flood,Serbia,Southern Europe,Europe,"Sjenica and Brodarevo Novi Pazar Municipality; Novi Pazar Municipality (Sumadija and Western Serbia Region, south-western Serbia)",Heavy rainfall and river overflow,0.0,Km2,2023,2023,2.0,0.0,210.0,210.0,0.0,0.0
Hydrological,Flood,Flood (General),Colombia,Latin America and the Caribbean,Americas,"Los Conquistadores, Medellín city (Antioquia Department); ",Heavy rains and strong winds,0.0,Km2,2023,2023,2.0,23.0,15.0,38.0,0.0,0.0
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,Rodeio Municipality (Santa Caterina State),0,0.0,Km2,2023,2023,5.0,0.0,180.0,180.0,10000.0,10000.0
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,Alabama and Georgia,0,145.0,Kph,2023,2023,11.0,49.0,0.0,49.0,770000.0,770000.0
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,Kimberley region (Western Australia),Heavy rains,0.0,Km2,2023,2023,0.0,0.0,363.0,477.0,0.0,0.0
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,Aceh and West Sumatra Provinces,Torrential rains,0.0,Km2,2023,2023,0.0,0.0,100000.0,100000.0,0.0,0.0
