Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,"Lanao del Norte Province (Northern Mindanao Region); Davao de Oro and Davao del Norte provinces; Maguindanao (BARMM Region); Mimaropa Region; Cagayan Valley, Central Luzon, Calabarzon, Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Soccsksargen, Caraga",Heavy rains,,Km2,2023,2023,52,11,2143347,2143358,30371,30371
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,Southwest Maluku and Tanimbar Islands Regencies (Maluku Province),,7.6,Moment Magnitude,2023,2023,1,11,4350,4421,,
Hydrological,Mass movement (wet),Landslide (wet),Colombia,Latin America and the Caribbean,Americas,"Rosas, Cauca municipality",Heavy rains,,,2023,2023,,,700,700,,
Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,"Khoy, Firoraq (Azerbaïdjan province)",,5.7,Moment Magnitude,2023,2023,,252,41426,41678,50000,50000
Meteorological,Extreme temperature,Cold wave,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",,-33,°C,2023,2023,166,,,,,
Meteorological,Storm,Tropical cyclone,Madagascar,Sub-Saharan Africa,Africa,Antalaha (Sava Region); Diana regon,,106,Kph,2023,2023,53,,90870,90870,20000,20000
Hydrological,Mass movement (wet),Avalanche (wet),China,Eastern Asia,Asia,"Nyingchi City (Nyingchi County, Autonomous Region of Tibet)",,,,2023,2023,28,5,53,58,,
Hydrological,Flood,Riverine flood,Serbia,Southern Europe,Europe,"Sjenica and Brodarevo Novi Pazar Municipality; Novi Pazar Municipality (Sumadija and Western Serbia Region, south-western Serbia)",Heavy rainfall and river overflow,,Km2,2023,2023,2,,210,210,,
Hydrological,Flood,Flood (General),Colombia,Latin America and the Caribbean,Americas,"Los Conquistadores, Medellín city (Antioquia Department); ",Heavy rains and strong winds,,Km2,2023,2023,2,23,15,38,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,Rodeio Municipality (Santa Caterina State),,,Km2,2023,2023,5,,180,180,10000,10000
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,Alabama and Georgia,,145,Kph,2023,2023,11,49,,49,770000,770000
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,Kimberley region (Western Australia),Heavy rains,,Km2,2023,2023,,,363,477,,
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,Aceh and West Sumatra Provinces,Torrential rains,,Km2,2023,2023,,,100000,100000,,
Hydrological,Flood,Flood (General),Malaysia,South-eastern Asia,Asia,"Johor, Pahang, and Sabah States",Torrential rains,,Km2,2023,2023,,,11000,11000,,
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,Manado City area (North Sulawesi Province),Heavy rains,,Km2,2023,2023,,,16700,16700,,
Hydrological,Flood,Flood (General),New Zealand,Australia and New Zealand,Oceania,"Kelston, Albany, Randwick Park, Mangere, Wellsford, Warkworth and Kumeu Region (Auckland)",Heavy rains,,Km2,2023,2023,4,,3786,5400,1900000,1900000
Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,"Firouragh district, Khoy county (West Azerbaijan)",,5.9,Moment Magnitude,2023,2023,3,1017,261387,262404,255000,255000
Climatological,Wildfire,Wildfire (General),Chile,Latin America and the Caribbean,Americas,"Bío Bío, Araucanía, Ñuble, Maule, Los Ríos, Los Lagos, Aysén, O’Higgins, Valparaíso, and Santiago Metropolitan",Strong winds and high temperatures,,Km2,2023,2023,26,3034,7500,10534,900000,900000
Meteorological,Extreme temperature,Severe winter conditions,Canada,Northern America,Americas,,,-50,°C,2023,2023,2,,,,165000,165000
Meteorological,Extreme temperature,Severe winter conditions,United States of America,Northern America,Americas,"Texas, Arkansas, Louisiana, Oklahoma, Tennessee. Mississippi",,-50,°C,2023,2023,10,25,,25,385000,385000
Geophysical,Earthquake,Ground movement,Syrian Arab Republic,Western Asia,Asia,"Aleppo, Lattakia, Hama; Harim (Idlib); Tartous; Atmeh, Sarmada, Atareb, and Kafr Takharim",,7.8,Moment Magnitude,2023,2023,5900,8700,8800000,8808700,8900000,8900000
Geophysical,Earthquake,Ground movement,Türkiye,Western Asia,Asia,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya ",,7.8,Moment Magnitude,2023,2023,53000,107000,16000000,16107000,34000000,34000000
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Guanay, Mapiri, Chuquisaca, Tipuani municipalities (La Paz); Santa Cruz, Cochabamba, Potosi, Beni Departments",Heavy rains,,Km2,2023,2023,5,,188610,188610,,
Hydrological,Flood,Flood (General),Zambia,Sub-Saharan Africa,Africa,"Kalomo, Namwala, and Choma Districts in the Southern Province",Heavy rain,,Km2,2023,2023,,,22000,22000,,
Hydrological,Mass movement (wet),Landslide (wet),Peru,Latin America and the Caribbean,Americas,Camaná Province (Arequipa Department),Heavy rains,,,2023,2023,38,27,6300,6327,,
Biological,Epidemic,Bacterial disease,Zambia,Sub-Saharan Africa,Africa,"Chikoma, Mbande, Mzigawa, Chipanji, Mlawe, Eastern, Luapula, Lusaka, Southern",,,,2023,2023,2,118,,118,,
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,Papua,,5.1,Moment Magnitude,2023,2023,4,,2136,2136,,
Hydrological,Mass movement (wet),Avalanche (wet),Austria,Western Europe,Europe,,,,,2023,2023,8,,,,,
Hydrological,Mass movement (wet),Avalanche (wet),Switzerland,Western Europe,Europe,,,,,2023,2023,2,,,,,
Hydrological,Mass movement (wet),Avalanche (wet),Italy,Southern Europe,Europe,,,,,2023,2023,1,,,,,
Hydrological,Flood,Flood (General),Mozambique,Sub-Saharan Africa,Africa,"Boane, Magude, and Moamba Districts (Maputo Province)",Heavy rains,,Km2,2023,2023,14,3,89090,89093,,
Meteorological,Storm,Tropical cyclone,New Zealand,Australia and New Zealand,Oceania,"Northland, Auckland, Tairawhiti, Bay of Plenty, Waikato, and Hawkes Bay",,140,Kph,2023,2023,11,,10500,10500,2800000,2800000
Hydrological,Flood,Flood (General),South Africa,Sub-Saharan Africa,Africa,"Mpumalanga, the Eastern Cape, Gauteng, KwaZulu-Natal, Limpopo, the Northern Cape, and North West",Heavy rains,,Km2,2023,2023,17,,1000,1000,,
Biological,Epidemic,Viral disease,Equatorial Guinea,Sub-Saharan Africa,Africa,Kie Ntem (Nsok Nsomo province),,,Vaccinated,2023,2023,10,16,,16,,
Geophysical,Earthquake,Ground movement,Syrian Arab Republic,Western Asia,Asia,,,6.3,Moment Magnitude,2023,2023,,470,,470,,
Geophysical,Earthquake,Ground movement,Türkiye,Western Asia,Asia,"Defne District (Hatay Province, southern Türkiye)",,6.3,Moment Magnitude,2023,2023,6,294,,294,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,Sao Sebastiao City and one in Ubatuba City (Sao Paulo state),Heavy rains,,Km2,2023,2023,67,25,4000,4025,30000,30000
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,"Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Davao Region, Soccsksargen and Caraga",Low-pressure area,,Km2,2023,2023,15,,32764,32764,5000,5000
Meteorological,Storm,Tropical cyclone,Madagascar,Sub-Saharan Africa,Africa,"Vatovavy, Fitovinany, Atsimo Atsinanana, Amoron’I Mania, Analamanga, Itasy, Alaotra-Mangoro, Menabe, Atsinanana",,165,Kph,2023,2023,17,,299000,299000,,
Meteorological,Storm,Tropical cyclone,Mozambique,Sub-Saharan Africa,Africa,"Niassa, Maputo, Inhambane, Gaza, Manica, Tete, Zambezia, Sofala Provinces ",,95,Kph,2023,2023,183,698,1230691,1231389,,
Meteorological,Storm,Tropical cyclone,Mauritius,Sub-Saharan Africa,Africa,,,,Kph,2023,2023,1,,2500,2500,,
Meteorological,Storm,Tropical cyclone,Malawi,Sub-Saharan Africa,Africa,"Balaka, Blantyre City, Blantyre, Chikwawa, Chiradzulu, Machinga, Mangochi, Mulanje, Neno, Nsanje, Phalombe, Thyolo, Zomba City, Zomb, Mwanza Distriicts ",,,Kph,2023,2023,1209,2186,2267458,2269644,506710,506710
Meteorological,Storm,Tropical cyclone,Réunion,Sub-Saharan Africa,Africa,,,,Kph,2023,2023,,,25000,25000,,
Meteorological,Storm,Tropical cyclone,Zimbabwe,Sub-Saharan Africa,Africa,,,,Kph,2023,2023,2,,,,,
Hydrological,Flood,Flood (General),Namibia,Sub-Saharan Africa,Africa,"Ohangwena, Oshana",,,Km2,2023,2023,,,2190,2190,,
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,Davao City (Davao del Norte); Davao Oriental (Dava Region); Maguidanao del Sur Province (BARMM Region),Heavy rains,,Km2,2023,2023,2,,215000,215000,5000,5000
Geophysical,Earthquake,Ground movement,Syrian Arab Republic,Western Asia,Asia,Northwest,,5.2,Moment Magnitude,2023,2023,,150,,150,,
Geophysical,Earthquake,Ground movement,Türkiye,Western Asia,Asia,Yesilyurt District (Malatya province),,5.2,Moment Magnitude,2023,2023,1,110,,200,,
Hydrological,Flood,Flash flood,Zambia,Sub-Saharan Africa,Africa,"Namwala, Monze and Mazabuka districts; Lusaka province",Heavy rains,,Km2,2023,2023,,,154608,154608,,
Meteorological,Extreme temperature,Cold wave,Lebanon,Western Asia,Asia,"Bekaa Valley, Beirut, Mount Lebanon",,,°C,2023,2023,,,1024200,1024200,,
Hydrological,Flood,Flash flood,Paraguay,Latin America and the Caribbean,Americas,"San Lazaro, Horqueta, Sargento Felix Lopez, Paso Horqueta and Paso Barreto (Concepción); Alto Paraguay, Amambay San Pedro departments",Heavy rains,,Km2,2023,2023,,,39000,39000,,
Meteorological,Storm,Tropical cyclone,Vanuatu,Melanesia,Oceania,Shefa and Tafea Provinces,,,Kph,2023,2023,,,251346,251346,,
Hydrological,Flood,Flood (General),Malaysia,South-eastern Asia,Asia,"Johor, Pahang, Malacca, and Negeri Sembilan",Heavy rains,,Km2,2023,2023,4,,46630,46630,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,"Texas, Oklahoma, Mississippi, Kentucky, Arkansas, Alabama, Tennessee, Louisiana, Indiana and Ohio",,,Kph,2023,2023,13,,,,6000000,6000000
Hydrological,Mass movement (wet),Landslide (wet),Indonesia,South-eastern Asia,Asia,Serasan District (Riau Islands),Heavy rains,,,2023,2023,55,8,1200,1208,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,Bandeirantes (Paraná state),Heavy rains,,Km2,2023,2023,,,750,750,95000,95000
