Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,2023,2023,52,11,2143347,2143358,30371,30371
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,2023,2023,1,11,4350,4421,,
Meteorological,Extreme temperature,Cold wave,Afghanistan,Southern Asia,Asia,2023,2023,166,,,,,
Meteorological,Storm,Tropical cyclone,Madagascar,Sub-Saharan Africa,Africa,2023,2023,53,,90870,90870,20000,20000
Hydrological,Mass movement (wet),Avalanche (wet),China,Eastern Asia,Asia,2023,2023,28,5,53,58,,
Hydrological,Flood,Riverine flood,Serbia,Southern Europe,Europe,2023,2023,2,,210,210,,
Hydrological,Flood,Flood (General),Colombia,Latin America and the Caribbean,Americas,2023,2023,2,23,15,38,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,5,,180,180,10000,10000
Hydrological,Flood,Flood (General),New Zealand,Australia and New Zealand,Oceania,2023,2023,4,,3786,5400,1900000,1900000
Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,2023,2023,3,1017,261387,262404,255000,255000
Climatological,Wildfire,Wildfire (General),Chile,Latin America and the Caribbean,Americas,2023,2023,26,3034,7500,10534,900000,900000
Meteorological,Extreme temperature,Severe winter conditions,Canada,Northern America,Americas,2023,2023,2,,,,165000,165000
Meteorological,Extreme temperature,Severe winter conditions,United States of America,Northern America,Americas,2023,2023,10,25,,25,385000,385000
Geophysical,Earthquake,Ground movement,Syrian Arab Republic,Western Asia,Asia,2023,2023,5900,8700,8800000,8808700,8900000,8900000
Geophysical,Earthquake,Ground movement,Türkiye,Western Asia,Asia,2023,2023,53000,107000,16000000,16107000,34000000,34000000
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2023,2023,5,,188610,188610,,
Hydrological,Flood,Flood (General),Zambia,Sub-Saharan Africa,Africa,2023,2023,,,22000,22000,,
Hydrological,Mass movement (wet),Landslide (wet),Peru,Latin America and the Caribbean,Americas,2023,2023,38,27,6300,6327,,
Biological,Epidemic,Bacterial disease,Zambia,Sub-Saharan Africa,Africa,2023,2023,2,118,,118,,
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,2023,2023,4,,2136,2136,,
Hydrological,Mass movement (wet),Avalanche (wet),Austria,Western Europe,Europe,2023,2023,8,,,,,
Hydrological,Mass movement (wet),Avalanche (wet),Switzerland,Western Europe,Europe,2023,2023,2,,,,,
Hydrological,Mass movement (wet),Avalanche (wet),Italy,Southern Europe,Europe,2023,2023,1,,,,,
Hydrological,Flood,Flood (General),Mozambique,Sub-Saharan Africa,Africa,2023,2023,14,3,89090,89093,,
Meteorological,Storm,Tropical cyclone,New Zealand,Australia and New Zealand,Oceania,2023,2023,11,,10500,10500,2800000,2800000
Hydrological,Flood,Flood (General),South Africa,Sub-Saharan Africa,Africa,2023,2023,17,,1000,1000,,
Biological,Epidemic,Viral disease,Equatorial Guinea,Sub-Saharan Africa,Africa,2023,2023,10,16,,16,,
Geophysical,Earthquake,Ground movement,Syrian Arab Republic,Western Asia,Asia,2023,2023,,470,,470,,
Geophysical,Earthquake,Ground movement,Türkiye,Western Asia,Asia,2023,2023,6,294,,294,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,67,25,4000,4025,30000,30000
Hydrological,Flood,Flood (General),Philippines,South-eastern Asia,Asia,2023,2023,15,,32764,32764,5000,5000
Meteorological,Storm,Tropical cyclone,Madagascar,Sub-Saharan Africa,Africa,2023,2023,17,,299000,299000,,
Hydrological,Mass movement (wet),Landslide (wet),Indonesia,South-eastern Asia,Asia,2023,2023,55,8,1200,1208,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,,,750,750,95000,95000
Hydrological,Flood,Flood (General),Ecuador,Latin America and the Caribbean,Americas,2023,2023,30,37,66727,66764,205000,205000
Meteorological,Storm,Severe weather,Indonesia,South-eastern Asia,Asia,2023,2023,1,3,650,653,,
Meteorological,Storm,Tropical cyclone,Vanuatu,Melanesia,Oceania,2023,2023,,,251356,251356,,
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,2023,2023,,,700,700,,
Meteorological,Storm,Severe weather,United States of America,Northern America,Americas,2023,2023,3,,551,551,255000,255000
Hydrological,Flood,Flood (General),Peru,Latin America and the Caribbean,Americas,2023,2023,71,,410000,410000,,
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,2023,2023,,,170,170,,
Biological,Epidemic,Bacterial disease,South Sudan,Sub-Saharan Africa,Africa,2023,2023,1,178,,178,,
Hydrological,Flood,Flood (General),Türkiye,Western Asia,Asia,2023,2023,19,,,,25000,25000
Geophysical,Earthquake,Ground movement,Ecuador,Latin America and the Caribbean,Americas,2023,2023,14,494,126922,127416,,
Geophysical,Earthquake,Ground movement,Peru,Latin America and the Caribbean,Americas,2023,2023,1,1,140,141,,
Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,2023,2023,5,80,3265,3345,,
Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,2023,2023,11,79,860,939,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,6,,2400,2400,50000,50000
Hydrological,Flood,Flash flood,Pakistan,Southern Asia,Asia,2023,2023,10,,,,,
Hydrological,Flood,Flood (General),Syrian Arab Republic,Western Asia,Asia,2023,2023,,1,2850,2851,,
Meteorological,Storm,Severe weather,India,Southern Asia,Asia,2023,2023,16,14,,14,,
Biological,Epidemic,Bacterial disease,Nigeria,Sub-Saharan Africa,Africa,2023,2023,562,9486,,9486,,
Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,2023,2023,,239,,239,,
Hydrological,Flood,Flash flood,Somalia,Sub-Saharan Africa,Africa,2023,2023,21,2,100001,100003,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,2023,2023,14,,50,50,,
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2023,2023,3,,9960,9960,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,2023,2023,25,72,6000,7011,2900000,2900000
Hydrological,Mass movement (wet),Landslide (wet),Ecuador,Latin America and the Caribbean,Americas,2023,2023,75,44,8400,8444,,
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,2023,2023,,,1500,1500,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,,,15000,15000,20000,20000
Hydrological,Flood,Flood (General),South Africa,Sub-Saharan Africa,Africa,2023,2023,3,,500,500,,
Hydrological,Flood,Flood (General),Ethiopia,Sub-Saharan Africa,Africa,2023,2023,91,,240000,240000,,
Hydrological,Flood,Flood (General),Kenya,Sub-Saharan Africa,Africa,2023,2023,36,29,139135,139164,,
Geophysical,Earthquake,Ground movement,Papua New Guinea,Melanesia,Oceania,2023,2023,8,11,13635,16274,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,2023,2023,31,200,5544,6479,5500000,5500000
Hydrological,Mass movement (wet),Landslide (wet),Democratic Republic of the Congo,Sub-Saharan Africa,Africa,2023,2023,19,,,,,
Hydrological,Flood,Flood (General),Colombia,Latin America and the Caribbean,Americas,2023,2023,1,,4500,4500,,
Biological,Epidemic,Bacterial disease,Somalia,Sub-Saharan Africa,Africa,2023,2023,14,3428,,3428,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,6,26,3693,3719,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,5,,1152,1152,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,2023,2023,5,5,225,266,2900000,2900000
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,2023,2023,14,27,750,777,,
Hydrological,Flood,Flood (General),Belarus,Eastern Europe,Europe,2023,2023,,,420,420,,
Hydrological,Flood,Flood (General),Latvia,Northern Europe,Europe,2023,2023,,,200,200,,
